City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,crane,31.3974,-102.3501,11.91,83,100,3.92,US,1699918028
1,quellon,-43.1167,-73.6167,7.22,65,84,5.36,CL,1699918028
2,bengkulu,-3.8004,102.2655,23.88,94,72,1.15,ID,1699918029
3,hamilton,39.1834,-84.5333,14.29,41,0,3.09,US,1699917847
4,stanley,54.868,-1.6985,8.77,87,20,8.23,GB,1699917790
5,waitangi,-43.9535,-176.5597,13.05,85,3,9.62,NZ,1699918029
6,fuglafjordur,62.244,-6.814,7.26,79,34,9.89,FO,1699918029
7,iqaluit,63.7506,-68.5145,-17.95,64,0,3.09,CA,1699918030
8,port-aux-francais,-49.35,70.2167,7.13,96,100,17.73,TF,1699918030
9,bure,10.7,37.0667,14.66,89,66,1.75,ET,1699918031
10,zambezi,-13.5432,23.1047,21.11,75,91,2.08,ZM,1699918031
11,berdigestyakh,62.0989,126.6992,-21.7,100,100,1.54,RU,1699918031
12,kasongo,-4.45,26.6667,20.25,96,100,0.78,CD,1699918031
13,island harbour,50.724,-1.2758,14.4,86,63,3.13,GB,1699918032
14,vadso,70.0744,29.7487,-8.91,86,75,6.69,NO,1699918032
15,ushuaia,-54.8,-68.3,3.81,70,40,14.31,AR,1699917872
16,guaduas,5.0669,-74.595,22.79,81,36,0.17,CO,1699918032
17,yellowknife,62.456,-114.3525,-6.71,86,100,1.54,CA,1699917890
18,newport,51.5877,-2.9984,12.35,89,55,11.03,GB,1699918019
19,shingu,33.7333,135.9833,10.21,72,5,2.47,JP,1699918033
20,dakhla,23.6848,-15.958,21.28,69,61,4.99,EH,1699918033
21,papatowai,-46.5619,169.4708,16.4,47,21,4.04,NZ,1699918033
22,zouerate,22.7187,-12.4521,26.05,16,34,4.1,MR,1699918034
23,chonchi,-42.6128,-73.8092,6.73,73,59,2.84,CL,1699918034
24,albany,42.6001,-73.9662,2.97,72,99,1.0,US,1699917861
25,st. john's,47.5649,-52.7093,0.38,80,100,4.12,CA,1699917940
26,grytviken,-54.2811,-36.5092,2.53,98,100,3.27,GS,1699917940
27,kapa'a,22.0752,-159.319,29.99,83,75,8.23,US,1699918035
28,kalymnos,36.95,26.9833,18.74,72,20,5.66,GR,1699918035
29,sergeyevka,53.88,67.4158,3.77,85,100,6.44,KZ,1699918036
30,zholymbet,51.7433,71.7122,1.69,88,96,3.8,KZ,1699918036
31,borsa,47.6553,24.6633,2.03,96,97,1.97,RO,1699918036
32,castanos,26.7833,-101.4167,13.27,95,100,2.1,MX,1699918036
